Summary statistics:

Variable,Observations,Obs. with missing data,Obs. without missing data,Minimum,Maximum,Mean,Std. deviation,,,,
Box-Cox(LNVGF Adj Close),253,0,253,-0.092,0.405,0.129,0.114,,,,
Box-Cox(MSI Adj Close),253,0,253,5.598,5.938,5.743,0.097,,,,

Results of the analysis of the Box-Cox(LNVGF Adj Close) series:

Normality test and white noise tests (Box-Cox(LNVGF Adj Close)):

Statistic,DF,Value,p-value,,,,,,,,
Jarque-Bera,2,15.430,0.000,,,,,,,,
Box-Pierce,6,1111.747,<0.0001,,,,,,,,
Ljung-Box,6,1135.356,<0.0001,,,,,,,,
McLeod-Li,6,1104.112,<0.0001,,,,,,,,
Box-Pierce,12,1744.590,<0.0001,,,,,,,,
Ljung-Box,12,1797.107,<0.0001,,,,,,,,
McLeod-Li,12,1673.901,<0.0001,,,,,,,,
The results of the Jarque-Bera normality test are displayed on the first row. White noise tests are displayed on the following rows for each time step.
Values displayed in bold are significant at the level alpha=0.05


Descriptive analysis (Box-Cox(LNVGF Adj Close)):

Lags,Autocorrelation,Standard error,Lower bound,Upper bound,Partial autocorrelation,Standard error,Lower bound,Upper bound,,,
0,1.000,0.000,,,1.000,0.000,,,,,
1,0.938,0.063,-0.123,0.123,0.938,0.063,-0.123,0.123,,,
2,0.896,0.104,-0.205,0.205,0.138,0.063,-0.123,0.123,,,
3,0.862,0.131,-0.257,0.257,0.070,0.063,-0.123,0.123,,,
4,0.839,0.152,-0.298,0.298,0.098,0.063,-0.123,0.123,,,
5,0.812,0.169,-0.332,0.332,-0.001,0.063,-0.123,0.123,,,
6,0.779,0.184,-0.361,0.361,-0.054,0.063,-0.123,0.123,,,
7,0.739,0.197,-0.386,0.386,-0.084,0.063,-0.123,0.123,,,
8,0.708,0.207,-0.406,0.406,0.018,0.063,-0.123,0.123,,,
9,0.668,0.217,-0.425,0.425,-0.094,0.063,-0.123,0.123,,,
10,0.625,0.225,-0.440,0.440,-0.078,0.063,-0.123,0.123,,,
11,0.578,0.231,-0.454,0.454,-0.068,0.063,-0.123,0.123,,,
12,0.534,0.237,-0.465,0.465,-0.046,0.063,-0.123,0.123,,,
13,0.485,0.242,-0.474,0.474,-0.080,0.063,-0.123,0.123,,,
14,0.441,0.246,-0.481,0.481,-0.015,0.063,-0.123,0.123,,,
15,0.397,0.249,-0.487,0.487,-0.006,0.063,-0.123,0.123,,,
16,0.370,0.251,-0.492,0.492,0.118,0.063,-0.123,0.123,,,
17,0.341,0.253,-0.497,0.497,0.032,0.063,-0.123,0.123,,,
18,0.309,0.255,-0.500,0.500,0.008,0.063,-0.123,0.123,,,
19,0.276,0.257,-0.503,0.503,0.003,0.063,-0.123,0.123,,,
20,0.244,0.258,-0.505,0.505,-0.022,0.063,-0.123,0.123,,,
21,0.211,0.259,-0.507,0.507,-0.034,0.063,-0.123,0.123,,,
22,0.187,0.259,-0.508,0.508,0.019,0.063,-0.123,0.123,,,
23,0.160,0.260,-0.509,0.509,-0.016,0.063,-0.123,0.123,,,
24,0.140,0.260,-0.510,0.510,0.016,0.063,-0.123,0.123,,,



Results of the analysis of the Box-Cox(MSI Adj Close) series:

Normality test and white noise tests (Box-Cox(MSI Adj Close)):

Statistic,DF,Value,p-value,,,,,,,,
Jarque-Bera,2,17.029,0.000,,,,,,,,
Box-Pierce,6,1340.964,<0.0001,,,,,,,,
Ljung-Box,6,1369.997,<0.0001,,,,,,,,
McLeod-Li,6,1369.362,<0.0001,,,,,,,,
Box-Pierce,12,2422.299,<0.0001,,,,,,,,
Ljung-Box,12,2502.007,<0.0001,,,,,,,,
McLeod-Li,12,2500.779,<0.0001,,,,,,,,
The results of the Jarque-Bera normality test are displayed on the first row. White noise tests are displayed on the following rows for each time step.
Values displayed in bold are significant at the level alpha=0.05


Descriptive analysis (Box-Cox(MSI Adj Close)):

Lags,Autocorrelation,Standard error,Lower bound,Upper bound,Partial autocorrelation,Standard error,Lower bound,Upper bound,,,
0,1.000,0.000,,,1.000,0.000,,,,,
1,0.983,0.063,-0.123,0.123,0.983,0.063,-0.123,0.123,,,
2,0.966,0.108,-0.211,0.211,-0.022,0.063,-0.123,0.123,,,
3,0.948,0.138,-0.270,0.270,-0.011,0.063,-0.123,0.123,,,
4,0.931,0.161,-0.316,0.316,-0.004,0.063,-0.123,0.123,,,
5,0.913,0.181,-0.356,0.356,-0.014,0.063,-0.123,0.123,,,
6,0.896,0.199,-0.390,0.390,0.020,0.063,-0.123,0.123,,,
7,0.881,0.214,-0.420,0.420,0.016,0.063,-0.123,0.123,,,
8,0.864,0.228,-0.447,0.447,-0.028,0.063,-0.123,0.123,,,
9,0.849,0.241,-0.472,0.472,0.022,0.063,-0.123,0.123,,,
10,0.835,0.252,-0.494,0.494,0.026,0.063,-0.123,0.123,,,
11,0.822,0.263,-0.515,0.515,0.025,0.063,-0.123,0.123,,,
12,0.811,0.273,-0.535,0.535,0.070,0.063,-0.123,0.123,,,
13,0.801,0.282,-0.553,0.553,-0.009,0.063,-0.123,0.123,,,
14,0.789,0.291,-0.570,0.570,-0.041,0.063,-0.123,0.123,,,
15,0.778,0.299,-0.587,0.587,0.020,0.063,-0.123,0.123,,,
16,0.766,0.307,-0.602,0.602,-0.047,0.063,-0.123,0.123,,,
17,0.754,0.315,-0.617,0.617,0.002,0.063,-0.123,0.123,,,
18,0.742,0.322,-0.631,0.631,0.008,0.063,-0.123,0.123,,,
19,0.730,0.328,-0.644,0.644,0.003,0.063,-0.123,0.123,,,
20,0.718,0.335,-0.656,0.656,-0.034,0.063,-0.123,0.123,,,
21,0.704,0.341,-0.668,0.668,-0.042,0.063,-0.123,0.123,,,
22,0.692,0.347,-0.679,0.679,0.056,0.063,-0.123,0.123,,,
23,0.680,0.352,-0.690,0.690,0.009,0.063,-0.123,0.123,,,
24,0.668,0.357,-0.700,0.700,-0.029,0.063,-0.123,0.123,,,

