Summary statistics:

Variable,Observations,Obs. with missing data,Obs. without missing data,Minimum,Maximum,Mean,Std. deviation,,,,
LNVGF Adj Close,253,0,253,0.912,1.500,1.146,0.134,,,,
MSI Adj Close,253,0,253,269.904,379.350,313.512,30.585,,,,


Box-Cox transformation (LNVGF Adj Close):

Lambda = 0

Series before and after transformation(LNVGF Adj Close):

Time,LNVGF Adj Close,Box-Cox(LNVGF Adj Close)
1,1.006,0.006
2,1.034,0.034
3,1.015,0.015
4,1.063,0.061
5,0.996,-0.004
6,0.986,-0.014
7,0.977,-0.023
8,0.967,-0.033
9,0.967,-0.033
10,0.986,-0.014
11,0.986,-0.014
12,1.025,0.024
13,1.025,0.024
14,0.996,-0.004
15,1.044,0.043
16,1.034,0.034
17,1.034,0.034
18,1.034,0.034
19,1.025,0.024
20,1.025,0.024
21,1.034,0.034
22,1.034,0.034
23,1.034,0.034
24,1.034,0.034
25,1.025,0.024
26,1.025,0.024
27,1.025,0.024
28,1.034,0.034
29,1.063,0.061
30,0.962,-0.039
31,0.982,-0.018
32,1.111,0.105
33,1.111,0.105
34,1.051,0.050
35,1.041,0.040
36,1.091,0.087
37,1.091,0.087
38,1.111,0.105
39,1.021,0.021
40,1.061,0.059
41,1.011,0.011
42,1.002,0.002
43,0.982,-0.018
44,0.982,-0.018
45,0.982,-0.018
46,0.982,-0.018
47,0.912,-0.092
48,0.972,-0.029
49,0.972,-0.029
50,0.972,-0.029
51,0.982,-0.018
52,0.952,-0.049
53,0.952,-0.049
54,1.081,0.078
55,1.071,0.069
56,1.081,0.078
57,1.051,0.050
58,1.071,0.069
59,1.071,0.069
60,1.071,0.069
61,0.982,-0.018
62,1.041,0.040
63,1.041,0.040
64,1.041,0.040
65,1.041,0.040
66,1.021,0.021
67,1.041,0.040
68,1.021,0.021
69,1.021,0.021
70,1.011,0.011
71,0.992,-0.008
72,0.992,-0.008
73,1.002,0.002
74,1.051,0.050
75,1.051,0.050
76,1.051,0.050
77,0.972,-0.029
78,0.992,-0.008
79,1.002,0.002
80,1.002,0.002
81,1.021,0.021
82,1.021,0.021
83,1.071,0.069
84,1.071,0.069
85,1.071,0.069
86,1.071,0.069
87,1.091,0.087
88,1.081,0.078
89,0.952,-0.049
90,1.041,0.040
91,1.041,0.040
92,1.051,0.050
93,1.091,0.087
94,1.071,0.069
95,1.140,0.131
96,1.150,0.140
97,1.170,0.157
98,1.160,0.149
99,1.160,0.149
100,1.180,0.166
101,1.180,0.166
102,1.220,0.199
103,1.220,0.199
104,1.150,0.140
105,1.170,0.157
106,1.170,0.157
107,1.180,0.166
108,1.220,0.199
109,1.239,0.215
110,1.239,0.215
111,1.239,0.215
112,1.230,0.207
113,1.200,0.182
114,1.200,0.182
115,1.210,0.190
116,1.180,0.166
117,1.190,0.174
118,1.220,0.199
119,1.220,0.199
120,1.210,0.191
121,1.220,0.199
122,1.190,0.174
123,1.270,0.239
124,1.160,0.148
125,1.150,0.140
126,1.150,0.140
127,1.230,0.207
128,1.260,0.231
129,1.350,0.300
130,1.270,0.239
131,1.300,0.262
132,1.300,0.262
133,1.310,0.270
134,1.330,0.285
135,1.290,0.255
136,1.310,0.270
137,1.380,0.322
138,1.380,0.322
139,1.420,0.351
140,1.450,0.372
141,1.300,0.262
142,1.350,0.300
143,1.350,0.300
144,1.340,0.293
145,1.370,0.315
146,1.370,0.315
147,1.300,0.262
148,1.360,0.307
149,1.300,0.262
150,1.280,0.247
151,1.210,0.191
152,1.240,0.215
153,1.250,0.223
154,1.290,0.255
155,1.350,0.300
156,1.280,0.247
157,1.180,0.166
158,1.120,0.113
159,1.030,0.030
160,1.040,0.039
161,1.020,0.020
162,1.090,0.086
163,1.050,0.049
164,1.080,0.077
165,1.040,0.039
166,1.070,0.068
167,1.030,0.030
168,1.050,0.049
169,1.030,0.030
170,1.030,0.030
171,1.060,0.058
172,1.070,0.068
173,1.060,0.058
174,1.040,0.039
175,1.100,0.095
176,1.100,0.095
177,1.120,0.113
178,1.160,0.148
179,1.110,0.104
180,1.050,0.049
181,1.140,0.131
182,1.280,0.247
183,1.230,0.207
184,1.250,0.223
185,1.250,0.223
186,1.250,0.223
187,1.200,0.182
188,1.230,0.207
189,1.250,0.223
190,1.250,0.223
191,1.200,0.182
192,1.200,0.182
193,1.200,0.182
194,1.200,0.182
195,1.250,0.223
196,1.240,0.215
197,1.150,0.140
198,1.150,0.140
199,1.110,0.104
200,1.170,0.157
201,1.190,0.174
202,1.190,0.174
203,1.130,0.122
204,1.130,0.122
