Significance level (%): 5,,,,,,,,,,,
Dickey-Fuller test: DF (intercept),,,,,,,,,,,
Phillips-Perron test: PP (intercept),,,,,,,,,,,
,,,,,,,,,,,
Summary statistics:,,,,,,,,,,,
,,,,,,,,,,,
Variable,Observations,Obs. with missing data,Obs. without missing data,Minimum,Maximum,Mean,Std. deviation,,,,
Box-Cox(LNVGF Adj Close),253,0,253,-0.092,0.405,0.129,0.114,,,,
Box-Cox(MSI Adj Close),253,0,253,5.598,5.938,5.743,0.097,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Dickey-Fuller test (DF (intercept)) / Box-Cox(LNVGF Adj Close):,,,,,,,,,,,
,,,,,,,,,,,
Tau (Observed value),-2.575,,,,,,,,,,
Tau (Critical value),-2.872,,,,,,,,,,
p-value (one-tailed),0.099,,,,,,,,,,
alpha,0.05,,,,,,,,,,
,,,,,,,,,,,
Test interpretation:,,,,,,,,,,,
H0: There is a unit root for the series.,,,,,,,,,,,
Ha: There is no unit root for the series. ,,,,,,,,,,,
"As the computed p-value is greater than the significance level alpha=0.05, one cannot reject the null hypothesis H0.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Phillips-Perron test (PP (intercept) / Lag: Short) / Box-Cox(LNVGF Adj Close):,,,,,,,,,,,
,,,,,,,,,,,
Tau (Observed value),-2.098,,,,,,,,,,
Tau (Critical value),-2.873,,,,,,,,,,
p-value (one-tailed),0.246,,,,,,,,,,
alpha,0.05,,,,,,,,,,
,,,,,,,,,,,
Test interpretation:,,,,,,,,,,,
H0: There is a unit root for the series.,,,,,,,,,,,
Ha: There is no unit root for the series. The series is explosive.,,,,,,,,,,,
"As the computed p-value is greater than the significance level alpha=0.05, one cannot reject the null hypothesis H0.",,,,,,,,,,,
,,,,,,,,,,,
Dickey-Fuller test (DF (intercept)) / Box-Cox(MSI Adj Close):,,,,,,,,,,,
,,,,,,,,,,,
Tau (Observed value),-0.270,,,,,,,,,,
Tau (Critical value),-2.872,,,,,,,,,,
p-value (one-tailed),0.928,,,,,,,,,,
alpha,0.05,,,,,,,,,,
,,,,,,,,,,,
Test interpretation:,,,,,,,,,,,
H0: There is a unit root for the series.,,,,,,,,,,,
Ha: There is no unit root for the series. ,,,,,,,,,,,
"As the computed p-value is greater than the significance level alpha=0.05, one cannot reject the null hypothesis H0.",,,,,,,,,,,
,,,,,,,,,,,
Phillips-Perron test (PP (intercept) / Lag: Short) / Box-Cox(MSI Adj Close):,,,,,,,,,,,
,,,,,,,,,,,
Tau (Observed value),-0.327,,,,,,,,,,
Tau (Critical value),-2.873,,,,,,,,,,
p-value (one-tailed),0.918,,,,,,,,,,
alpha,0.05,,,,,,,,,,
,,,,,,,,,,,
Test interpretation:,,,,,,,,,,,
H0: There is a unit root for the series.,,,,,,,,,,,
Ha: There is no unit root for the series. The series is explosive.,,,,,,,,,,,
"As the computed p-value is greater than the significance level alpha=0.05, one cannot reject the null hypothesis H0.",,,,,,,,,,,
,,,,,,,,,,,

Summary:,,,,,,,,,,,
,,,,,,,,,,,
Variable,Dickey-Fuller,Phillips-Perron,,,,,,,,,
Box-Cox(LNVGF Adj Close),0.099,0.246,,,,,,,,,
Box-Cox(MSI Adj Close),0.928,0.918,,,,,,,,,

