Date,Open,High,Low,Close,Adj Close,Volume
2023-06-13,1.000000,1.050000,1.000000,1.050000,1.005533,5400
2023-06-14,1.050000,1.080000,1.050000,1.080000,1.034262,1222800
2023-06-15,1.080000,1.080000,1.060000,1.060000,1.015109,12200
2023-06-16,1.100000,1.120000,1.080000,1.110000,1.062992,49100
2023-06-20,1.070000,1.090000,1.040000,1.040000,0.995956,6900
2023-06-21,1.030000,1.030000,1.030000,1.030000,0.986380,3400
2023-06-22,1.010000,1.020000,1.010000,1.020000,0.976803,30600
2023-06-23,1.010000,1.010000,1.010000,1.010000,0.967227,300
2023-06-26,1.010000,1.010000,1.010000,1.010000,0.967227,18100
2023-06-27,1.010000,1.030000,1.010000,1.030000,0.986380,900
2023-06-28,1.030000,1.030000,1.030000,1.030000,0.986380,82000
2023-06-29,1.070000,1.070000,1.070000,1.070000,1.024686,9600
2023-06-30,1.070000,1.070000,1.070000,1.070000,1.024686,0
2023-07-03,1.060000,1.070000,1.040000,1.040000,0.995956,6600
2023-07-05,1.140000,1.140000,1.040000,1.090000,1.043839,181600
2023-07-06,1.080000,1.080000,1.080000,1.080000,1.034262,3500
2023-07-07,1.080000,1.080000,1.080000,1.080000,1.034262,0
2023-07-10,1.080000,1.080000,1.080000,1.080000,1.034262,0
2023-07-11,1.080000,1.080000,1.030000,1.070000,1.024686,7700
2023-07-12,1.090000,1.090000,1.070000,1.070000,1.024686,3200
2023-07-13,1.080000,1.080000,1.080000,1.080000,1.034262,1000
2023-07-14,1.080000,1.080000,1.080000,1.080000,1.034262,0
2023-07-17,1.080000,1.080000,1.080000,1.080000,1.034262,100
2023-07-18,1.080000,1.080000,1.080000,1.080000,1.034262,300
2023-07-19,1.090000,1.090000,1.070000,1.070000,1.024686,500
2023-07-20,1.070000,1.070000,1.070000,1.070000,1.024686,24000
2023-07-21,1.070000,1.070000,1.070000,1.070000,1.024686,0
2023-07-24,1.080000,1.080000,1.080000,1.080000,1.034262,100
2023-07-25,1.100000,1.110000,1.100000,1.110000,1.062992,2100
2023-07-26,0.970000,0.970000,0.970000,0.970000,0.961849,900
2023-07-27,1.050000,1.050000,0.990000,0.990000,0.981681,11800
2023-07-28,1.120000,1.120000,1.120000,1.120000,1.110588,1000
2023-07-31,1.120000,1.120000,1.120000,1.120000,1.110588,0
2023-08-01,1.090000,1.110000,1.060000,1.060000,1.051092,14000
2023-08-02,1.050000,1.050000,1.050000,1.050000,1.041176,582000
2023-08-03,1.100000,1.100000,1.100000,1.100000,1.090756,610300
2023-08-04,1.090000,1.100000,1.090000,1.100000,1.090756,575700
2023-08-07,1.070000,1.120000,1.070000,1.120000,1.110588,31100
2023-08-08,1.030000,1.030000,1.030000,1.030000,1.021345,300
2023-08-09,1.050000,1.070000,1.050000,1.070000,1.061008,300
2023-08-10,1.050000,1.050000,1.020000,1.020000,1.011429,36200
2023-08-11,1.080000,1.080000,1.000000,1.010000,1.001513,137900
2023-08-14,1.000000,1.000000,0.990000,0.990000,0.981681,184800
2023-08-15,0.990000,0.990000,0.990000,0.990000,0.981681,0
2023-08-16,0.990000,0.990000,0.990000,0.990000,0.981681,124100
2023-08-17,0.970000,0.990000,0.970000,0.990000,0.981681,1100
2023-08-18,0.930000,0.930000,0.920000,0.920000,0.912269,500
2023-08-21,0.980000,0.980000,0.980000,0.980000,0.971765,2900
2023-08-22,1.010000,1.030000,0.980000,0.980000,0.971765,18000
2023-08-23,0.980000,0.980000,0.970000,0.980000,0.971765,139300
2023-08-24,0.980000,0.990000,0.980000,0.990000,0.981681,120000
2023-08-25,1.030000,1.030000,0.960000,0.960000,0.951933,11800
2023-08-28,0.960000,0.960000,0.960000,0.960000,0.951933,0
2023-08-29,1.060000,1.090000,1.060000,1.090000,1.080840,88800
2023-08-30,1.080000,1.080000,1.080000,1.080000,1.070924,341600
2023-08-31,1.120000,1.120000,1.090000,1.090000,1.080840,445100
2023-09-01,1.100000,1.150000,1.060000,1.060000,1.051092,58000
2023-09-05,1.080000,1.080000,1.080000,1.080000,1.070924,270000
2023-09-06,1.080000,1.080000,1.080000,1.080000,1.070924,0
2023-09-07,1.080000,1.080000,1.080000,1.080000,1.070924,0
2023-09-08,1.030000,1.030000,0.990000,0.990000,0.981681,4000
2023-09-11,1.050000,1.050000,1.050000,1.050000,1.041176,13000
2023-09-12,1.050000,1.050000,1.050000,1.050000,1.041176,2100
2023-09-13,1.050000,1.050000,1.050000,1.050000,1.041176,0
2023-09-14,1.050000,1.050000,1.050000,1.050000,1.041176,0
2023-09-15,1.070000,1.070000,1.030000,1.030000,1.021345,10400
2023-09-18,1.020000,1.050000,1.020000,1.050000,1.041176,9500
2023-09-19,1.070000,1.070000,1.030000,1.030000,1.021345,1100
2023-09-20,1.030000,1.030000,1.030000,1.030000,1.021345,0
2023-09-21,1.020000,1.020000,1.020000,1.020000,1.011429,2400
2023-09-22,1.080000,1.080000,1.000000,1.000000,0.991597,1800
2023-09-25,1.000000,1.000000,1.000000,1.000000,0.991597,0
2023-09-26,1.000000,1.010000,1.000000,1.010000,1.001513,1200
2023-09-27,1.060000,1.060000,1.060000,1.060000,1.051092,100
2023-09-28,1.060000,1.060000,1.060000,1.060000,1.051092,0
2023-09-29,1.060000,1.060000,1.060000,1.060000,1.051092,0
2023-10-02,0.980000,0.980000,0.980000,0.980000,0.971765,1000
2023-10-03,0.980000,1.000000,0.980000,1.000000,0.991597,2800
2023-10-04,1.010000,1.010000,1.010000,1.010000,1.001513,200
2023-10-05,1.010000,1.010000,1.010000,1.010000,1.001513,1300
2023-10-06,1.030000,1.030000,1.030000,1.030000,1.021345,2000
2023-10-09,1.030000,1.030000,1.030000,1.030000,1.021345,2100
2023-10-10,1.060000,1.080000,1.050000,1.080000,1.070924,2600
2023-10-11,1.080000,1.080000,1.080000,1.080000,1.070924,0
2023-10-12,1.080000,1.080000,1.080000,1.080000,1.070924,200
2023-10-13,1.080000,1.080000,1.080000,1.080000,1.070924,0
2023-10-16,1.100000,1.100000,1.100000,1.100000,1.090756,110900
2023-10-17,1.090000,1.090000,1.090000,1.090000,1.080840,400
2023-10-18,0.990000,0.990000,0.960000,0.960000,0.951933,10000
2023-10-19,1.050000,1.050000,1.050000,1.050000,1.041176,800
2023-10-20,1.050000,1.050000,1.050000,1.050000,1.041176,542400
2023-10-23,1.060000,1.060000,1.060000,1.060000,1.051092,100
2023-10-24,1.130000,1.130000,1.100000,1.100000,1.090756,700
2023-10-25,1.100000,1.150000,1.080000,1.080000,1.070924,19400
2023-10-26,1.170000,1.170000,1.150000,1.150000,1.140336,7500
2023-10-27,1.150000,1.160000,1.150000,1.160000,1.150252,3100
2023-10-30,1.200000,1.220000,1.170000,1.180000,1.170084,189000
2023-10-31,1.240000,1.240000,1.170000,1.170000,1.160168,3000
2023-11-01,1.070000,1.170000,1.070000,1.170000,1.160168,3200
2023-11-02,1.140000,1.190000,1.140000,1.190000,1.180000,800
2023-11-03,1.190000,1.190000,1.190000,1.190000,1.180000,0
2023-11-06,1.320000,1.320000,1.230000,1.230000,1.219664,5700
2023-11-07,1.300000,1.300000,1.230000,1.230000,1.219664,1500
2023-11-08,1.160000,1.220000,1.160000,1.160000,1.150252,7800
2023-11-09,1.220000,1.220000,1.180000,1.180000,1.170084,2900
2023-11-10,1.180000,1.180000,1.180000,1.180000,1.170084,0
2023-11-13,1.150000,1.210000,1.150000,1.190000,1.180000,7600
2023-11-14,1.220000,1.230000,1.200000,1.230000,1.219664,10600
2023-11-15,1.250000,1.250000,1.250000,1.250000,1.239496,23200
2023-11-16,1.250000,1.250000,1.250000,1.250000,1.239496,6000
2023-11-17,1.250000,1.250000,1.250000,1.250000,1.239496,0
2023-11-20,1.270000,1.270000,1.240000,1.240000,1.229580,9000
2023-11-21,1.220000,1.220000,1.210000,1.210000,1.199832,5300
2023-11-22,1.210000,1.210000,1.210000,1.210000,1.199832,0
2023-11-24,1.220000,1.220000,1.220000,1.220000,1.209748,2000
2023-11-27,1.230000,1.230000,1.190000,1.190000,1.180000,3000
2023-11-28,1.190000,1.190000,1.190000,1.190000,1.190000,5100
2023-11-29,1.220000,1.220000,1.220000,1.220000,1.220000,6400
2023-11-30,1.220000,1.220000,1.220000,1.220000,1.220000,2000
2023-12-01,1.200000,1.210000,1.200000,1.210000,1.210000,200
2023-12-04,1.350000,1.350000,1.220000,1.220000,1.220000,300
2023-12-05,1.210000,1.210000,1.190000,1.190000,1.190000,2500
2023-12-06,1.270000,1.270000,1.270000,1.270000,1.270000,200
2023-12-07,1.220000,1.220000,1.160000,1.160000,1.160000,4800
2023-12-08,1.150000,1.150000,1.150000,1.150000,1.150000,200
2023-12-11,1.150000,1.150000,1.150000,1.150000,1.150000,0
2023-12-12,1.280000,1.280000,1.230000,1.230000,1.230000,1600
2023-12-13,1.340000,1.340000,1.240000,1.260000,1.260000,2100
2023-12-14,1.310000,1.350000,1.310000,1.350000,1.350000,111800
2023-12-15,1.250000,1.320000,1.250000,1.270000,1.270000,9300
2023-12-18,1.300000,1.300000,1.300000,1.300000,1.300000,5000
2023-12-19,1.350000,1.350000,1.300000,1.300000,1.300000,6600
2023-12-20,1.360000,1.360000,1.310000,1.310000,1.310000,37900
2023-12-21,1.360000,1.360000,1.330000,1.330000,1.330000,4300
2023-12-22,1.290000,1.330000,1.290000,1.290000,1.290000,2600
2023-12-26,1.220000,1.320000,1.220000,1.310000,1.310000,7900
2023-12-27,1.350000,1.380000,1.310000,1.380000,1.380000,163200
2023-12-28,1.320000,1.380000,1.320000,1.380000,1.380000,8300
2023-12-29,1.390000,1.420000,1.320000,1.420000,1.420000,226300
2024-01-02,1.430000,1.450000,1.410000,1.450000,1.450000,800
2024-01-03,1.360000,1.360000,1.300000,1.300000,1.300000,3900
2024-01-04,1.350000,1.350000,1.350000,1.350000,1.350000,216200
2024-01-05,1.350000,1.350000,1.350000,1.350000,1.350000,0
2024-01-08,1.310000,1.340000,1.310000,1.340000,1.340000,15100
